Value,platform
2.395887497669167,Type1
-0.7445945958630813,Type1
1.6787659964137949,Type1
0.08453525087583343,Type1
0.7787348406637106,Type1
-0.7845225011239633,Type1
-2.0241980605179832,Type1
-0.08742979381886606,Type1
1.7195500134328778,Type1
1.7507739929663733,Type1
0.456061053540346,Type1
-0.5984109968288295,Type1
2.553657864120104,Type1
-0.2532984849349289,Type1
1.6689163174719703,Type1
1.6940399752870314,Type1
0.1414456857459037,Type1
1.547242455345868,Type1
-0.49512718446989046,Type1
-0.23116330859003179,Type1
-0.6276247891064446,Type1
-0.0974566450049048,Type1
-0.9615835104940088,Type1
0.6190050242136028,Type1
-1.65295778428655,Type1
0.9382023411103604,Type1
-0.05009316051479349,Type1
0.23691044208483358,Type1
0.5089542456785527,Type1
0.4418249697735256,Type1
0.17047145728112442,Type1
-0.6358305140018389,Type1
-0.9729951677908008,Type1
0.46316757145071774,Type1
-1.9636412591509314,Type1
0.5510155141471077,Type1
0.6682152744206169,Type1
0.21219037055535014,Type1
-0.47126563420333145,Type1
-0.34587661614145326,Type1
0.30421110239076876,Type1
-0.4098604766522396,Type1
0.686173776585058,Type1
1.319818094079634,Type1
-0.7611881057809791,Type1
-1.259867156289427,Type1
-0.2552624684417333,Type1
0.4874511049567718,Type1
-0.8971991136689479,Type1
0.043935653231398725,Type1
1.9486763323742642,Type1
1.2680808704500766,Type1
1.4883387519583076,Type1
-0.8354668757872303,Type1
0.05826183948817598,Type1
-0.8094288355696339,Type1
-1.4993694168582266,Type1
0.9496488519956657,Type1
-0.40598307846408277,Type1
-1.5275640337997476,Type1
-0.146022593081111,Type1
1.1572180267809093,Type1
-0.3982375257928521,Type1
0.9369948845990396,Type1
0.10607282108523072,Type1
0.3367313295939436,Type1
-0.5696890900709062,Type1
-0.011639377774129427,Type1
1.705540255024637,Type1
-0.3110172736450053,Type1
0.5681999930911833,Type1
0.9121198262401763,Type1
0.4072820036585336,Type1
0.2644846810984629,Type1
0.03408564769183616,Type1
-1.1723661558407923,Type1
1.047141722011278,Type1
-1.3761989784887558,Type1
0.8122120642685741,Type1
-0.962149102135366,Type1
0.4583081609466928,Type1
-1.5003702186873555,Type1
-0.1695303404545925,Type1
-0.37047116698062693,Type1
-0.6973842743430576,Type1
0.2706110643713419,Type1
-0.15083691330516436,Type1
1.0006997503317567,Type1
0.4110501246952155,Type1
0.26286324640879255,Type1
-0.39529241629651546,Type1
0.04174286029048175,Type1
-1.2377518881765959,Type1
0.20107168483854324,Type1
-1.286978978005481,Type1
-0.0025856410566578274,Type1
-0.6824486641480254,Type1
-0.3255835145339571,Type1
0.071037720912812,Type1
-0.5034428431773623,Type1
1.885807193759768,Type1
-0.44015134328881766,Type1
-2.352965153108178,Type1
-0.21011626745082934,Type1
-1.0230677341230492,Type1
-1.0703467278550656,Type1
0.727194968343866,Type1
0.357034439777726,Type1
-0.27373948855858354,Type1
0.9953681132157447,Type1
-1.0530686685069153,Type1
0.31226992539861514,Type1
-1.0063640876264803,Type1
1.0548086359458975,Type1
0.17032767592865652,Type1
0.41337805664411237,Type1
-0.7954676931463809,Type1
1.376704592927016,Type1
0.07130038115339156,Type1
-1.1794993110543808,Type1
-0.8609530066259058,Type1
-0.3581684260604708,Type1
0.6746890673077213,Type1
-0.038298466051462345,Type1
-0.013132259466234962,Type1
-0.8914694414647865,Type1
1.8948031173923061,Type1
0.937930927806413,Type1
0.3927763304998599,Type1
-0.9848929207288817,Type1
-0.45329827089532365,Type1
-0.3922662769569801,Type1
-0.10049069740569322,Type1
-0.7671033282251855,Type1
-1.5134126789149085,Type1
0.7230070768791793,Type1
-0.5748071347986415,Type1
-0.30456114057202566,Type1
-1.2302397770539681,Type1
0.745482138503884,Type1
0.5557963538676365,Type1
1.0512177059822958,Type1
-0.15687252633344045,Type1
1.3969640529805212,Type1
0.21917919220166732,Type1
-0.416543525317739,Type1
0.8052268562763248,Type1
0.5521153726069185,Type1
-1.3913060773255777,Type1
-1.2966562170521332,Type1
-0.8515428256450202,Type1
-0.5925183606851033,Type1
-0.28895360950485394,Type1
0.7713312882502199,Type1
-0.3302188407781622,Type1
0.39752686665661213,Type1
-1.031479237259056,Type1
-0.32727913872042375,Type1
-0.9848335014861267,Type1
-0.13635465118418366,Type1
-1.17914973053091,Type1
0.1703240981487162,Type1
-0.5708544559197319,Type1
-0.39498090844992867,Type1
0.8465538893925022,Type1
0.08998055847172719,Type1
0.24284952644977106,Type1
0.6227492135971346,Type1
-0.2826656988423639,Type1
2.3521742016911276,Type1
1.6472189175770484,Type1
-0.8974031079390727,Type1
-3.2782221315478024,Type1
0.49274117501980147,Type1
-1.89193561787939,Type1
-0.49125243095607357,Type1
-2.250114087574224,Type1
0.12520923263979641,Type1
0.01910683127616802,Type1
0.9315660425363403,Type1
-0.7354914510577736,Type1
-1.5819346302717583,Type1
1.496356048128795,Type1
0.5966638046058963,Type1
0.382019892414753,Type1
-2.4802547078293866,Type1
-0.2304560848046672,Type1
-0.17602942629081253,Type1
-0.32125124834590035,Type1
0.8478466350913135,Type1
0.46261693939134846,Type1
-1.679954731676775,Type1
1.3839211580715685,Type1
2.5954533260996038,Type1
0.5337284371662917,Type1
0.9709411522787375,Type1
-0.03334936181041093,Type1
-0.6773064403565644,Type1
-0.2238839402619165,Type1
1.2066746576565142,Type1
-0.1630879928135851,Type1
-0.198636484270697,Type1
-0.10078143463509849,Type1
-0.5650931274559554,Type1
0.39670469488317656,Type1
0.7577983073213447,Type1
1.5145721783555528,Type1
0.16604818415657316,Type1
0.25798644078365424,Type1
-2.1254817890085893,Type1
-1.3137431460768378,Type1
-0.4929717484357655,Type1
0.2786667401539823,Type1
-0.3207428377770023,Type1
-0.9445999226381764,Type1
-0.2907122050172123,Type1
-0.911287202507623,Type1
0.535915657797317,Type1
-0.43588973497592437,Type1
0.8792114291824659,Type1
1.0480193809311928,Type1
-1.1439473971703484,Type1
0.2877777535451458,Type1
0.9688134740481821,Type1
-1.9688637805167064,Type1
1.4582482099603424,Type1
-0.1759811215356661,Type1
-0.9389634870439605,Type1
-0.7089612811991495,Type1
2.582263540036123,Type1
0.6295714813932101,Type1
0.6657907780984709,Type1
0.43563085475390734,Type1
-1.0496894535077588,Type1
2.3232425830583443,Type1
0.6810665369468505,Type1
0.08920186233254944,Type1
-1.0127396274073912,Type1
-2.4128396576568294,Type1
-0.3224664162639541,Type1
-0.01747865596338184,Type1
-1.504258479952513,Type1
-0.07225695080354005,Type1
-0.5991444956940264,Type1
-0.8045626035500897,Type1
1.061023460360844,Type1
-0.48332515095390133,Type1
0.06820003516405594,Type1
-1.0593704510067408,Type1
-1.5389124528737992,Type1
-0.33628478552103874,Type2
1.29756125916211,Type2
0.47366264253993606,Type2
-1.6307353411826429,Type2
0.8770547112221658,Type2
0.4385979970588085,Type2
-0.9764253452866044,Type2
-1.5825401574706657,Type2
-0.7223337998694634,Type2
-0.22418160837459128,Type2
-0.08566107234193064,Type2
0.7958879247071351,Type2
0.7316782119909505,Type2
-1.0521488149087994,Type2
0.473954419188879,Type2
-1.1587443009354332,Type2
0.3790809335520746,Type2
-1.0899260698493785,Type2
1.5900978659267198,Type2
1.648889266618706,Type2
-0.19492641503757696,Type2
0.8970363473896845,Type2
-0.41983732556627795,Type2
-1.1397128020367413,Type2
-0.338602214363727,Type2
-0.8663619935777997,Type2
-0.7237900551324993,Type2
-0.5669311345163621,Type2
0.6921253276985806,Type2
-0.7428233957553931,Type2
1.2936986680542693,Type2
0.26016303442069333,Type2
-1.0879708667173276,Type2
0.042384787795704454,Type2
0.3658864271027743,Type2
1.10712365740976,Type2
-2.463133879706885,Type2
0.45845121216178647,Type2
1.642303439660288,Type2
-1.0757949765282495,Type2
-0.7719250145757721,Type2
0.6721111018251932,Type2
-2.073069953424515,Type2
-0.9670562363153421,Type2
0.3034694120012139,Type2
-0.24123665434290403,Type2
0.6984579267864083,Type2
-1.3366556189543004,Type2
1.1689784214315566,Type2
-0.3167163552217551,Type2
0.08392730424519393,Type2
-1.0288511120943404,Type2
-0.6040358247446077,Type2
-0.45300550779366017,Type2
1.1025933520845232,Type2
0.7081499638121452,Type2
-0.16286684778401284,Type2
-0.7125893597659956,Type2
-1.1897301558284694,Type2
0.8463035875530991,Type2
-0.311678020002379,Type2
-0.27648740700590524,Type2
-0.6328766875949997,Type2
-1.2213565811250415,Type2
-1.6293894928067287,Type2
0.4921808679306146,Type2
0.367810936426133,Type2
1.0550360059071389,Type2
-0.7330819766609393,Type2
0.5008748644819866,Type2
1.2614951148162916,Type2
-1.4095724850911626,Type2
0.5900990923896645,Type2
0.07065860247716636,Type2
0.13676386131608362,Type2
-0.4439046844731419,Type2
-0.02939456299528277,Type2
0.0927304908010151,Type2
-2.362935856179697,Type2
-0.16868155845193422,Type2
0.710837231618669,Type2
-0.09027592047396178,Type2
-0.8178672687574237,Type2
-2.568733362600125,Type2
-0.2351031245646483,Type2
-0.3039834852982056,Type2
-1.4068757737115805,Type2
0.39303695653418236,Type2
1.9001495243422137,Type2
-1.2374549214012172,Type2
1.069454390768842,Type2
0.24613046584070836,Type2
-1.2935033045557338,Type2
1.5253440803793687,Type2
0.20684104749321164,Type2
1.2847496644506966,Type2
1.4229602822950445,Type2
-0.14831007049173664,Type2
0.1190747863662475,Type2
0.044879829504259124,Type2
-2.2565096957938287,Type2
0.44059196270620177,Type2
-0.6801293040123074,Type2
-2.416753272499515,Type2
-1.0297604736628991,Type2
0.023695394095636067,Type2
-0.13281713989730753,Type2
0.7012434916849112,Type2
0.350802642778363,Type2
-0.77933640282212,Type2
0.31743160820201516,Type2
0.5371281607383963,Type2
-0.3385142464200823,Type2
-0.12919749181167006,Type2
2.7321552836523106,Type2
-0.5920188100955397,Type2
-0.13040856303886203,Type2
0.4140743822769934,Type2
0.15641149201176804,Type2
-0.01861304294744462,Type2
-0.3117485658382376,Type2
-0.558120973786823,Type2
0.32718476428535537,Type2
-0.005438056610711963,Type2
2.099964660817047,Type2
-0.2886901037012564,Type2
0.301291411195348,Type2
-0.43498500521151523,Type2
-0.3390618723135634,Type2
0.28406579507241453,Type2
-0.33024496759297317,Type2
-0.8812288500082499,Type2
-0.6068347683704264,Type2
-0.7927703124563604,Type2
-0.43939028203982544,Type2
0.21824015304229702,Type2
-0.7729962673757923,Type2
-0.08111756865087816,Type2
0.28318815097214434,Type2
0.5425591360567106,Type2
0.09633573557293755,Type2
-1.3113286301220157,Type2
1.095170416397332,Type2
-1.0314573623788434,Type2
0.49840209401930746,Type2
-0.14531223126006193,Type2
1.1517943059656497,Type2
0.7897100815676005,Type2
-0.6309695291636049,Type2
1.1107860724082737,Type2
-1.323943035135409,Type2
-0.15312576947594614,Type2
-0.3512770023939118,Type2
-0.08109491368346503,Type2
-0.1171467005483934,Type2
0.4886778297497464,Type2
